serviceCharge,heatingType,newlyConst,balcony,picturecount,pricetrend,totalRent,yearConstructed,scoutId,firingTypes,hasKitchen,cellar,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,floor,noRoomsRange,garden,livingSpaceRange,regio3,date
150,district_heating,TRUE,TRUE,12,3.93,1041.75,2019,112293204,district_heating,FALSE,TRUE,821.75,65.74,first_time_use,luxury,no,FALSE,apartment,86152,2,1,2,FALSE,3,Innenstadt,19-Oct
199,gas_heating,FALSE,TRUE,9,5.15,694,1992,111262028,gas,TRUE,TRUE,495,50,well_kept,normal,negotiable,FALSE,roof_storey,86179,2,2,2,FALSE,2,Haunstetten,19-May
85,self_contained_central_heating,FALSE,FALSE,4,5.31,335,1958,111296675,gas,TRUE,FALSE,250,8,refurbished,normal,no,FALSE,other,86150,1,1,1,FALSE,1,Innenstadt,19-May
150,central_heating,FALSE,TRUE,9,5.31,1800,1890,78720491,district_heating,TRUE,FALSE,1450,121,fully_renovated,sophisticated,no,TRUE,penthouse,86150,3,4,3,FALSE,6,Innenstadt,19-May
150,central_heating,FALSE,TRUE,18,3.85,1261,1972,113696941,oil,TRUE,TRUE,1007,83.96,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,raised_ground_floor,86179,3,0,3,FALSE,4,Haunstetten,20-Feb
200,central_heating,FALSE,TRUE,11,4.16,1650,1900,113419654,gas,TRUE,FALSE,1450,81.9,fully_renovated,sophisticated,no,FALSE,ground_floor,86199,3,0,3,TRUE,4,Göggingen,19-Oct
125,heat_pump,TRUE,FALSE,15,5.24,520,2018,110927051,electricity,TRUE,TRUE,395,21.31,mint_condition,sophisticated,no,TRUE,apartment,86179,1,3,1,FALSE,1,Haunstetten,19-May
105,district_heating,FALSE,TRUE,38,3.62,450,2017,114773801,district_heating,TRUE,FALSE,345,21.6,mint_condition,sophisticated,no,TRUE,apartment,86153,1,4,1,TRUE,1,Innenstadt,20-Feb
150,self_contained_central_heating,FALSE,TRUE,18,5.75,730,1972,95122174,gas,TRUE,TRUE,580,34,fully_renovated,sophisticated,no,TRUE,penthouse,86159,1,32,1,FALSE,1,Antonsviertel,19-May
140,district_heating,FALSE,FALSE,11,4.71,680,1995,113820017,district_heating,TRUE,TRUE,540,30,mint_condition,sophisticated,no,TRUE,apartment,86156,1,1,1,TRUE,1,Kriegshaber,19-Oct
