serviceCharge,heatingType,newlyConst,balcony,picturecount,pricetrend,totalRent,yearConstructed,scoutId,firingTypes,hasKitchen,cellar,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,floor,noRoomsRange,garden,livingSpaceRange,regio3,heatingCosts,date
180,central_heating,FALSE,FALSE,18,4.47,2030,1871,113626688,district_heating,TRUE,TRUE,1850,81,well_kept,NA,no,FALSE,apartment,80331,2,4,2,FALSE,4,Altstadt,NA,Oct19
0,NA,FALSE,TRUE,25,7.53,2400,1956,111398027,gas,FALSE,FALSE,2400,61,NA,NA,NA,TRUE,NA,80804,3,1,3,FALSE,3,Schwabing_West,NA,May19
0,NA,FALSE,TRUE,29,6.08,2780,2016,112411856,district_heating,FALSE,FALSE,2780,100,NA,NA,NA,TRUE,NA,80809,3,5,3,FALSE,4,Milbertshofen,NA,Feb20
NA,NA,TRUE,TRUE,14,7.32,1390,2018,108881424,district_heating,FALSE,FALSE,1390,33,NA,NA,no,TRUE,NA,80807,1,3,1,FALSE,1,Schwabing,NA,May19
290,district_heating,FALSE,TRUE,16,5.72,NA,1959,113593417,NA,TRUE,TRUE,2250,82,first_time_use_after_refurbishment,luxury,NA,TRUE,apartment,80469,2,3,2,TRUE,4,Ludwigsvorstadt_Isarvorstadt,NA,Oct19
190,central_heating,TRUE,TRUE,8,5.08,2010,2019,107822195,gas,TRUE,TRUE,1680,91,fully_renovated,sophisticated,no,TRUE,maisonette,81476,1.5,2,1,FALSE,4,Forstenried,NA,Feb20
100,central_heating,FALSE,TRUE,23,6.71,NA,1981,111219380,gas,TRUE,TRUE,1800,101.38,fully_renovated,sophisticated,NA,FALSE,apartment,81673,3,1,3,FALSE,5,Berg_am_Laim,150,May19
110,NA,FALSE,TRUE,25,6.29,NA,1995,110224769,NA,TRUE,TRUE,650,39,well_kept,normal,no,FALSE,raised_ground_floor,80997,1,1,1,FALSE,1,Untermenzing,NA,May19
133,central_heating,FALSE,FALSE,8,7.06,1669,NA,110926654,district_heating,FALSE,TRUE,1475,64.51,fully_renovated,NA,NA,TRUE,apartment,80469,2.5,2,2,FALSE,3,Ludwigsvorstadt_Isarvorstadt,61,May19
135,NA,TRUE,TRUE,6,4.46,1825,2019,115549276,gas,TRUE,FALSE,1690,67.58,first_time_use,NA,NA,FALSE,apartment,81545,2,1,2,TRUE,3,Harlaching,NA,Feb20
